Institution,Discipline,Last,First,City,Gender,Region,Macro
Scuola Normale Superiore di PISA,L-ANT,ADORNATO,Gianfranco,Pisa,M,Toscana,Centro
GENOVA,ING-INF,ADORNI,Giovanni,Genova,M,Liguria,Nord
PARMA,ICAR,ADORNI,Bruno,Parma,M,Emilia-Romagna,Nord
TORINO,M-STO,ADORNI,Daniela,Torino,F,Piemonte,Nord
CATANIA,M-STO,ADORNO,Salvatore,Catania,M,Sicilia,Sicilia
"ROMA \Tor Vergata\\\\\""""",MED,ADORNO,Domenico,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",MED,ADORNO,Gaspare,Roma,M,Lazio,Centro
SALENTO,IUS,ADORNO,Rossano Ivan,Lecce,M,Puglia,Sud
SALERNO,M-FIL,ADORNO,Francesco Paolo,Salerno,M,Campania,Sud
TRIESTE,MED,ADOVASIO,Roberto,Trieste,M,Friuli-Venezia-Giulia,Nord
Politecnica delle MARCHE,MED,ADRARIO,Erica,Ancona,F,Marche,Centro
FIRENZE,FIS,ADRIANI,Oscar,Firenze,M,Toscana,Centro
"ROMA \La Sapienza\\\\\""""",ING-IND,ADROVER,Alessandra,Roma,F,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",BIO,ADUCCI,Patrizia,Roma,F,Lazio,Centro
"Univ. \Campus Bio-Medico\\ ROMA\\\""""",MED,AFELTRA,Antonella Maria Vittoria,Roma,F,Lazio,Centro
ROMA TRE,BIO,AFFABRIS,Elisabetta,Roma,F,Lazio,Centro
PARMA,MED,AFFANNI,Paola,Parma,F,Emilia-Romagna,Nord
UDINE,ING-INF,AFFANNI,Antonio,Udine,M,Friuli-Venezia-Giulia,Nord
GENOVA,IUS,AFFERNI,Vittorio,Genova,M,Liguria,Nord
PIEMONTE ORIENTALE,M-GGR,AFFERNI,Raffaella,Vercelli,F,Piemonte,Nord
MODENA e REGGIO EMILIA,FIS,AFFRONTE,Marco,Modena,M,Emilia-Romagna,Nord
PADOVA,L-FIL-LET,AFRIBO,Andrea,Padova,M,Veneto,Nord
L AQUILA,M-STO,AGAROSSI,Elena,Aquila,F,Abruzzo,Sud
SASSARI,AGR,AGABBIO,Mario Carlo,Sassari,M,Sardegna,Sardegna
CAGLIARI,BIO,AGABIO,Roberta,Cagliari,F,Sardegna,Sardegna
BRESCIA,MED,AGABITIROSEI,Enrico,Brescia,M,Lombardia,Nord
CHIETI-PESCARA,CHIM,AGAMENNONE,Mariangela,Chieti,F,Abruzzo,Sud
FIRENZE,L-ART,AGAMENNONE,Maurizio,Firenze,M,Toscana,Centro
Politecnico di MILANO,ING-IND,AGASISTI,Tommaso,Milano,M,Lombardia,Nord
PALERMO,GEO,AGATE,Mauro,Palermo,M,Sicilia,Sicilia
BOLOGNA,SECS-S,AGATI,Patrizia,Bologna,F,Emilia-Romagna,Nord
"ROMA \La Sapienza\\\\\""""",MED,AGATI,Luciano,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",M-STO,AGATI,Maria Luisa,Roma,F,Lazio,Centro
BERGAMO,L-LIN,AGAZZI,Elena,Bergamo,F,Lombardia,Nord
Ca Foscari VENEZIA,L-ART,AGAZZI,Michela,Venezia,F,Veneto,Nord
MILANO,AGR,AGAZZI,Alessandro,Milano,M,Lombardia,Nord
INSUBRIA,MED,AGENO,Walter,Varese,M,Lombardia,Nord
della CALABRIA,ICAR,AGGARBATI,Fabrizio,Arcavacata,M,Calabria,Sud
MODENA e REGGIO EMILIA,MED,AGGAZZOTTI,Gabriella,Modena,F,Emilia-Romagna,Nord
BRESCIA,ING-IND,AGGOGERI,Francesco,Brescia,M,Lombardia,Nord
Politecnico di TORINO,ING-IND,AGHEMO,Chiara,Torino,F,Piemonte,Nord
PISA,MED,AGHINILOMBARDI,Fabrizio,Pisa,M,Toscana,Centro
LIUC - CASTELLANZA,IUS,AGLIALORO,Giuseppe Federico,Castellanza,M,Lombardia,Nord
"ROMA \La Sapienza\\\\\""""",MED,AGLIANO,Anna Maria,Roma,F,Lazio,Centro
SIENA,BIO,AGLIANO,Margherita,Siena,F,Toscana,Centro
SIENA,MAT,AGLIANO,Paolo,Siena,M,Toscana,Centro
BOLOGNA,SECS-P,AGLIARDI,Elettra,Bologna,F,Emilia-Romagna,Nord
